Family Chain ID,Family Brand Name,Description,Chain Name ,Chain ID
10001,BMW,AUTO DEALERSHIPS,BMW,265
10001,BMW,AUTO DEALERSHIPS,MINI,938
10001,BMW,AUTO DEALERSHIPS,ROLLS-ROYCE,345
10001,BMW,AUTO SERVICE & MAINTENANCE,BMW,265
10001,BMW,AUTO SERVICE & MAINTENANCE,MINI,938
10001,BMW,AUTO SERVICE & MAINTENANCE,ROLLS-ROYCE,345
10001,BMW,MOTORCYCLE DEALERSHIP,BMW,265
10002,FIAT,AUTO DEALERSHIPS,ALFA ROMEO,296
10002,FIAT,AUTO DEALERSHIPS,FIAT,314
10002,FIAT,AUTO DEALERSHIPS,FERRARI,313
10002,FIAT,AUTO DEALERSHIPS,LANCIA,328
10002,FIAT,AUTO DEALERSHIPS,IVECO,1224
10002,FIAT,AUTO DEALERSHIPS,MASERATI,332
10002,FIAT,AUTO SERVICE & MAINTENANCE,ALFA ROMEO,296
10002,FIAT,AUTO SERVICE & MAINTENANCE,FIAT,314
10002,FIAT,AUTO SERVICE & MAINTENANCE,FERRARI,313
10002,FIAT,AUTO SERVICE & MAINTENANCE,LANCIA,328
10002,FIAT,AUTO SERVICE & MAINTENANCE,IVECO,1224
10002,FIAT,AUTO SERVICE & MAINTENANCE,MASERATI,332
10003,VOLKSWAGEN,AUTO DEALERSHIPS,AUDI,299
10003,VOLKSWAGEN,AUTO DEALERSHIPS,BUGATTI,302
10003,VOLKSWAGEN,AUTO DEALERSHIPS,SCANIA,3624
10003,VOLKSWAGEN,AUTO DEALERSHIPS,SEAT,349
10003,VOLKSWAGEN,AUTO DEALERSHIPS,SKODA,350
10003,VOLKSWAGEN,AUTO DEALERSHIPS,VOLKSWAGEN,272
10003,VOLKSWAGEN,AUTO DEALERSHIPS,LAMBORGHINI,327
10003,VOLKSWAGEN,AUTO DEALERSHIPS,BENTLEY,301
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,AUDI,299
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,BUGATTI,302
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,SCANIA,3624
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,SEAT,349
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,SKODA,350
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,VOLKSWAGEN,272
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,LAMBORGHINI,327
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,BENTLEY,301
10003,VOLKSWAGEN,AUTO DEALERSHIPS,SVW SKODA,6206
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,SVW SKODA,6206
10003,VOLKSWAGEN,AUTO DEALERSHIPS,SHANGHAI VOLKSWAGEN,6215
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,SHANGHAI VOLKSWAGEN,6215
10003,VOLKSWAGEN,AUTO DEALERSHIPS,FAW-VOLKSWAGEN,6216
10003,VOLKSWAGEN,AUTO SERVICE & MAINTENANCE,FAW-VOLKSWAGEN,6216
10004,GM,AUTO DEALERSHIPS,BUICK,303
10004,GM,AUTO DEALERSHIPS,CADILLAC,304
10004,GM,AUTO DEALERSHIPS,CHEVROLET,305
10004,GM,AUTO DEALERSHIPS,DAEWOO,308
10004,GM,AUTO DEALERSHIPS,HOLDEN,1220
10004,GM,AUTO DEALERSHIPS,CORVETTE,3827
10004,GM,AUTO DEALERSHIPS,FSO,315
10004,GM,AUTO DEALERSHIPS,OPEL,271
10004,GM,AUTO DEALERSHIPS,SAAB,347
10004,GM,AUTO DEALERSHIPS,VAUXHALL,356
10004,GM,AUTO DEALERSHIPS,GM,317
10004,GM,AUTO DEALERSHIPS,GMC,318
10004,GM,AUTO DEALERSHIPS,PONTIAC,343
10004,GM,AUTO DEALERSHIPS,HOLDEN HDT,1221
10004,GM,AUTO DEALERSHIPS,HOLDEN SPECIAL VEHICLE,1222
10004,GM,AUTO DEALERSHIPS,SATURN,348
10004,GM,AUTO DEALERSHIPS,HUMMER,1013
10004,GM,AUTO SERVICE & MAINTENANCE,BUICK,303
10004,GM,AUTO SERVICE & MAINTENANCE,CADILLAC,304
10004,GM,AUTO SERVICE & MAINTENANCE,CHEVROLET,305
